Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,
1,tt7077144,12/9/2023,12/9/2023,,Hot Ones: Tony Yayo Talks Shmoney Dance & Eminem's Taco Habit While Eating Spicy Chicken Wings,https://www.imdb.com/title/tt7077144/,tvEpisode,5.3,5,2015,"Comedy, Talk-Show",24,2015-03-12,
2,tt6559584,12/9/2023,12/9/2023,,Hot Ones: Anthony Rizzo on Chicago Cubs Rivalries & Baseball Superstitions While Eating Spicy Wings,https://www.imdb.com/title/tt6559584/,tvEpisode,5.8,10,2015,"Comedy, Talk-Show",20,2015-05-12,
3,tt6559824,12/9/2023,12/9/2023,,"Hot Ones: Machine Gun Kelly Talks Diddy, Hangovers, & Amber Rose While Eating Spicy Wings",https://www.imdb.com/title/tt6559824/,tvEpisode,5.6,15,2015,"Comedy, Talk-Show",25,2015-06-11,
4,tt6563412,12/9/2023,12/9/2023,,"Hot Ones: Gunplay Talks Rick Ross, Wingstop, and X-Box Live Fights While Eating Spicy Wings",https://www.imdb.com/title/tt6563412/,tvEpisode,6.7,15,2015,"Comedy, Talk-Show",17,2015-06-23,
5,tt6563418,12/9/2023,12/9/2023,,"Hot Ones: Ja Rule Talks 50 Cent Beef, Jail Recipes, and Media Stereotypes While Eating Spicy Wings",https://www.imdb.com/title/tt6563418/,tvEpisode,6.4,18,2015,"Comedy, Talk-Show",17,2015-08-11,
6,tt6563524,12/9/2023,12/9/2023,,"Hot Ones: B.o.B Talks Eggplant Fridays, Kid Rock, and Snapchat While Eating Spicy Wings",https://www.imdb.com/title/tt6563524/,tvEpisode,6.4,17,2015,"Comedy, Talk-Show",16,2015-08-26,
7,tt6567250,12/9/2023,12/9/2023,,Hot Ones: Prince Amukamara Talks NFL Salaries & Pre-Game Sex While Eating Spicy Wings,https://www.imdb.com/title/tt6567250/,tvEpisode,6.5,17,2015,"Comedy, Talk-Show",15,2015-10-07,
8,tt7942844,12/9/2023,12/9/2023,,"Hot Ones: DJ Khaled Talks Fuccbois, Finga Licking, and Media Dinosaurs While Eating Spicy Wings",https://www.imdb.com/title/tt7942844/,tvEpisode,4,17,2015,"Comedy, Talk-Show",39,2015-10-22,
9,tt6582150,12/9/2023,12/9/2023,,"Hot Ones: Sean Evans and Chili Klaus Eat the Carolina Reaper, the World's Hottest Chili Pepper",https://www.imdb.com/title/tt6582150/,tvEpisode,8.2,12,2015,"Comedy, Talk-Show",26,2015-12-03,
10,tt7942818,12/9/2023,12/9/2023,,"Hot Ones: Curren$y Talks Munchies, Industry Games, and Rap Dogs While Eating Spicy Wings",https://www.imdb.com/title/tt7942818/,tvEpisode,6.7,19,2015,"Comedy, Talk-Show",14,2015-12-10,
11,tt6582238,12/9/2023,12/9/2023,,Hot Ones: Tinashe Talks NFL Dances and 2015's Sexiest Songs While Eating Spicy Wings,https://www.imdb.com/title/tt6582238/,tvEpisode,7.5,15,2015,"Comedy, Talk-Show",19,2015-12-17,
12,tt6560578,12/9/2023,12/9/2023,,"Hot Ones: Tommy Chong Talks Weed, Bernie Sanders, and Smoking with Snoop While Eating Spicy Wings",https://www.imdb.com/title/tt6560578/,tvEpisode,7.6,16,2016,"Comedy, Talk-Show",23,2016-02-03,
13,tt6833294,12/9/2023,12/9/2023,,"Hot Ones: T.J. Miller Talks Deadpool, Hecklers, and Relationship Advice While Eating Spicy Wings",https://www.imdb.com/title/tt6833294/,tvEpisode,7.7,18,2016,"Comedy, Talk-Show",26,2016-02-12,
14,tt7942824,12/9/2023,12/9/2023,,Hot Ones: Coolio Talks Hip-Hop Cooking and 'Gangsta's Paradise' Folklore While Eating Spicy Wings,https://www.imdb.com/title/tt7942824/,tvEpisode,7.6,16,2016,"Comedy, Talk-Show",21,2016-03-07,
15,tt7942850,12/9/2023,12/9/2023,,"Hot Ones: Joey Fatone Talks *NSYNC, DJ Khaled, and Guy Fieri While Eating Spicy Wings",https://www.imdb.com/title/tt7942850/,tvEpisode,7.3,19,2016,"Comedy, Talk-Show",17,2016-04-07,
16,tt7942856,12/9/2023,12/9/2023,,"Hot Ones: Michael Rapaport Talks LeBron James, Phife Dawg, & Reality TV While Eating Spicy Wings",https://www.imdb.com/title/tt7942856/,tvEpisode,7.2,15,2016,"Comedy, Talk-Show",20,2016-04-13,
17,tt7942866,12/9/2023,12/9/2023,,Hot Ones: Key & Peele Lose Their Minds Eating Spicy Wings,https://www.imdb.com/title/tt7942866/,tvEpisode,8.3,14,2016,"Comedy, Talk-Show",47,2016-04-28,
18,tt7942874,12/9/2023,12/9/2023,,Hot Ones: Riff Raff Goes Full Burly Boy on Some Spicy Wings,https://www.imdb.com/title/tt7942874/,tvEpisode,6.7,15,2016,"Comedy, Talk-Show",14,2016-05-05,
19,tt7942876,12/9/2023,12/9/2023,,Hot Ones: Eddie Huang Gets Destroyed by Spicy Wings,https://www.imdb.com/title/tt7942876/,tvEpisode,8.2,16,2016,"Comedy, Talk-Show",17,2016-05-31,
20,tt7942878,12/9/2023,12/9/2023,,Hot Ones: Chris D'Elia Turns Into DJ Khaled While Eating Spicy Wings,https://www.imdb.com/title/tt7942878/,tvEpisode,7.9,16,2016,"Comedy, Talk-Show",15,2016-06-09,
21,tt7942886,12/9/2023,12/9/2023,,Hot Ones: Mike Epps Gets Crushed by Spicy Wings,https://www.imdb.com/title/tt7942886/,tvEpisode,6.4,13,2016,"Comedy, Talk-Show",11,2016-06-21,
22,tt7942894,12/9/2023,12/9/2023,,Hot Ones: Jim Gaffigan Rediscovers His Flop Sweat Eating Spicy Wings,https://www.imdb.com/title/tt7942894/,tvEpisode,7.5,17,2016,"Comedy, Talk-Show",18,2016-06-23,
23,tt7942896,12/9/2023,12/9/2023,,Hot Ones: Carly Aquilino Takes on the Spicy Wings Challenge,https://www.imdb.com/title/tt7942896/,tvEpisode,7.9,16,2016,"Comedy, Talk-Show",11,2016-06-30,
24,tt7942900,12/9/2023,12/9/2023,,Hot Ones: Redman Wilds Out Eating Spicy Wings,https://www.imdb.com/title/tt7942900/,tvEpisode,7.4,17,2016,"Comedy, Talk-Show",16,2016-07-07,
25,tt7942904,12/9/2023,12/9/2023,,Hot Ones: Rob Gronkowski Gets Blindsided by Spicy Wings,https://www.imdb.com/title/tt7942904/,tvEpisode,6.9,11,2016,"Comedy, Talk-Show",18,2016-07-14,
26,tt7942906,12/9/2023,12/9/2023,,Hot Ones: Rob Corddry Cries Real Tears Eating Spicy Wings,https://www.imdb.com/title/tt7942906/,tvEpisode,7.1,16,2016,"Comedy, Talk-Show",13,2016-07-21,
27,tt7942920,12/9/2023,12/9/2023,,Hot Ones: Jeff Ross Gets Roasted by Spicy Wings,https://www.imdb.com/title/tt7942920/,tvEpisode,7.7,16,2016,"Comedy, Talk-Show",12,2016-07-28,
28,tt7942924,12/9/2023,12/9/2023,,Hot Ones: David Cross Embraces the Extremes of Spicy Wings,https://www.imdb.com/title/tt7942924/,tvEpisode,7.4,18,2016,"Comedy, Talk-Show",17,2016-07-29,
29,tt7942926,12/9/2023,12/9/2023,,Hot Ones: Eric Andre Turns Into Tay Zonday While Eating Spicy Wings,https://www.imdb.com/title/tt7942926/,tvEpisode,8.2,19,2016,"Comedy, Talk-Show",32,2016-08-04,
30,tt7942932,12/9/2023,12/9/2023,,Hot Ones: Joe Budden Keeps It Real While Eating Spicy Wings,https://www.imdb.com/title/tt7942932/,tvEpisode,6.1,24,2016,"Comedy, Talk-Show",13,2016-08-11,
31,tt7942934,12/9/2023,12/9/2023,,Hot Ones: Matty Matheson Turns Into a Motivational Speaker Eating Spicy Wings,https://www.imdb.com/title/tt7942934/,tvEpisode,6.7,21,2016,"Comedy, Talk-Show",10,2016-08-18,
32,tt7942938,12/9/2023,12/9/2023,,Hot Ones: RZA and Paul Banks Tag Team Spicy Wings,https://www.imdb.com/title/tt7942938/,tvEpisode,7,16,2016,"Comedy, Talk-Show",10,2016-08-25,
33,tt7942946,12/9/2023,12/9/2023,,Hot Ones: Bert Kreischer Sweats Profusely Eating Spicy Wings,https://www.imdb.com/title/tt7942946/,tvEpisode,8.8,26,2016,"Comedy, Talk-Show",13,2016-09-01,
34,tt7942960,12/9/2023,12/9/2023,,Hot Ones: YG Keeps His Bool Eating Spicy Nuggets,https://www.imdb.com/title/tt7942960/,tvEpisode,6.8,20,2016,"Comedy, Talk-Show",10,2016-09-08,
35,tt7942968,12/9/2023,12/9/2023,,"Hot Ones: Jay Pharoah Reviews Hot Sauce as Will Smith, Jay Z, Denzel Washington, and More",https://www.imdb.com/title/tt7942968/,tvEpisode,8.4,3,2016,"Comedy, Talk-Show",9,2016-09-13,
36,tt7942994,12/9/2023,12/9/2023,,Hot Ones: Jay Pharoah Has a Staring Contest While Eating Spicy Wings,https://www.imdb.com/title/tt7942994/,tvEpisode,7.7,23,2016,"Comedy, Talk-Show",10,2016-09-15,
37,tt7942996,12/9/2023,12/9/2023,,Hot Ones: Chili Klaus and Sean Evans Eat the World's Hottest Pepper on the Carriage Ride from Hell,https://www.imdb.com/title/tt7942996/,tvEpisode,8.1,8,2016,"Comedy, Talk-Show",20,2016-09-20,
38,tt7943000,12/9/2023,12/9/2023,,Hot Ones: Harley Morenstein Has His Worst Day of 2016 Eating Spicy Wings,https://www.imdb.com/title/tt7943000/,tvEpisode,7.3,20,2016,"Comedy, Talk-Show",11,2016-09-22,
39,tt7943004,12/9/2023,12/9/2023,,Hot Ones: Travis Kelce Gets Woozy Eating Spicy Wings,https://www.imdb.com/title/tt7943004/,tvEpisode,7.7,17,2016,"Comedy, Talk-Show",11,2016-09-29,
40,tt7943006,12/9/2023,12/9/2023,,Hot Ones: Hasan Minhaj Has an Out-of-Body Experience Eating Spicy Wings,https://www.imdb.com/title/tt7943006/,tvEpisode,7.6,20,2016,"Comedy, Talk-Show",16,2016-10-06,
41,tt7943012,12/9/2023,12/9/2023,,Hot Ones: Kevin Hart Catches a High Eating Spicy Wings,https://www.imdb.com/title/tt7943012/,tvEpisode,7.5,23,2016,"Comedy, Talk-Show",37,2016-10-11,
42,tt7943034,12/9/2023,12/9/2023,,Hot Ones: World's Hottest Chip Challenge Featuring Emily Oberg and Nadeska Alexis,https://www.imdb.com/title/tt7943034/,tvEpisode,6.6,5,2016,"Comedy, Talk-Show",9,2016-10-19,
43,tt7943042,12/9/2023,12/9/2023,,Hot Ones: Martin Garrix Tests His Limits Eating Spicy Wings,https://www.imdb.com/title/tt7943042/,tvEpisode,6.7,18,2016,"Comedy, Talk-Show",11,2016-10-20,
44,tt7943048,12/9/2023,12/9/2023,,Hot Ones: Bobby Lee Has an Accident Eating Spicy Wings,https://www.imdb.com/title/tt7943048/,tvEpisode,7.8,18,2016,"Comedy, Talk-Show",16,2016-10-27,
45,tt7943054,12/9/2023,12/9/2023,,Hot Ones: Hot Sauce Shopping at Heatonist,https://www.imdb.com/title/tt7943054/,tvEpisode,6.4,15,2016,"Comedy, Talk-Show",8,2016-11-02,
46,tt7943060,12/9/2023,12/9/2023,,Hot Ones: Tony Hawk Eats Spicy Wings Live at ComplexCon,https://www.imdb.com/title/tt7943060/,tvEpisode,7,32,2016,"Comedy, Talk-Show",9,2016-11-05,
47,tt7943140,12/9/2023,12/9/2023,,Hot Ones: Hot Ones Live Trivia with Super Fans at ComplexCon,https://www.imdb.com/title/tt7943140/,tvEpisode,5.3,25,2016,"Comedy, Talk-Show",8,2016-11-06,
48,tt7943152,12/9/2023,12/9/2023,,Hot Ones: Action Bronson Blows His High Eating Spicy Wings,https://www.imdb.com/title/tt7943152/,tvEpisode,7,21,2016,"Comedy, Talk-Show",12,2016-11-10,
49,tt7943192,12/9/2023,12/9/2023,,Hot Ones: Action Bronson Eating Wings in Reverse,https://www.imdb.com/title/tt7943192/,tvEpisode,6.8,1,2016,"Comedy, Talk-Show",7,2016-11-12,
50,tt7943196,12/9/2023,12/9/2023,,Hot Ones: T-Pain Has a Tongue Seizure Eating Spicy Wings,https://www.imdb.com/title/tt7943196/,tvEpisode,7,21,2016,"Comedy, Talk-Show",11,2016-11-17,
51,tt7943198,12/9/2023,12/9/2023,,Hot Ones: Rachael Ray Mainlines Hot Sauce for Thanksgiving,https://www.imdb.com/title/tt7943198/,tvEpisode,6.7,17,2016,"Comedy, Talk-Show",17,2016-11-24,
52,tt7943204,12/9/2023,12/9/2023,,Hot Ones: Tom Colicchio Goes Full Top Chef on Some Spicy Wings,https://www.imdb.com/title/tt7943204/,tvEpisode,7.3,18,2016,"Comedy, Talk-Show",10,2016-12-01,
53,tt7943210,12/9/2023,12/9/2023,,Hot Ones: Post Malone Sauces on Everyone While Eating Spicy Wings,https://www.imdb.com/title/tt7943210/,tvEpisode,7.8,19,2016,"Comedy, Talk-Show",22,2016-12-08,
54,tt7943218,12/9/2023,12/9/2023,,Hot Ones: N.O.R.E. Gets Wasted While Eating Spicy Wings,https://www.imdb.com/title/tt7943218/,tvEpisode,7.8,22,2016,"Comedy, Talk-Show",11,2016-12-15,
55,tt7943220,12/9/2023,12/9/2023,,Hot Ones: James Franco and Bryan Cranston Bond Over Spicy Wings,https://www.imdb.com/title/tt7943220/,tvEpisode,6.9,15,2016,"Comedy, Talk-Show",24,2016-12-22,
56,tt7943228,12/9/2023,12/9/2023,,Hot Ones: The Hot Ones Holiday Special,https://www.imdb.com/title/tt7943228/,tvEpisode,5.7,12,2016,"Comedy, Talk-Show",8,2016-12-24,
57,tt7942832,12/9/2023,12/9/2023,,Hot Ones: Hot Ones Mailbag: Sean Evans Answers Fan Questions,https://www.imdb.com/title/tt7942832/,tvEpisode,6,9,2016,"Comedy, Talk-Show",7,2016-12-29,
58,tt6569430,12/9/2023,12/9/2023,,Hot Ones: Rhett & Link Eat the World's Spiciest Curry with Sean Evans,https://www.imdb.com/title/tt6569430/,tvEpisode,7,17,2017,"Comedy, Talk-Show",14,2017-01-12,
59,tt7942816,12/9/2023,12/9/2023,,Hot Ones: Padma Lakshmi Gracefully Destroys Spicy Wings,https://www.imdb.com/title/tt7942816/,tvEpisode,7.4,17,2017,"Comedy, Talk-Show",19,2017-01-19,
60,tt7942814,12/9/2023,12/9/2023,,Hot Ones: Joey 'CoCo' Diaz Breaks Out the Blue Cheese While Eating Spicy Wings,https://www.imdb.com/title/tt7942814/,tvEpisode,8.1,19,2017,"Comedy, Talk-Show",17,2017-01-26,
61,tt7942810,12/9/2023,12/9/2023,,Hot Ones: Danny Brown Has an Orgasm Eating Spicy Wings,https://www.imdb.com/title/tt7942810/,tvEpisode,6.2,,2017,"Comedy, Talk-Show",10,2017-02-02,
62,tt7942798,12/9/2023,12/9/2023,,Hot Ones: Ricky Gervais Pits His Mild British Palate Against Spicy Wings,https://www.imdb.com/title/tt7942798/,tvEpisode,7.4,22,2017,"Comedy, Talk-Show",44,2017-02-09,
63,tt7701162,12/9/2023,12/9/2023,,Hot Ones: Charlie Day Learns to Love Ridiculously Spicy Wings,https://www.imdb.com/title/tt7701162/,tvEpisode,8,18,2017,"Comedy, Talk-Show",32,2017-02-16,
64,tt7942782,12/9/2023,12/9/2023,,Hot Ones: Mac DeMarco Tries to Stay Chill While Eating Spicy Wings,https://www.imdb.com/title/tt7942782/,tvEpisode,7.3,19,2017,"Comedy, Talk-Show",15,2017-02-23,
65,tt7942768,12/9/2023,12/9/2023,,Hot Ones: Russell Brand Achieves Enlightenment While Eating Spicy Wings,https://www.imdb.com/title/tt7942768/,tvEpisode,8,22,2017,"Comedy, Talk-Show",24,2017-03-02,
66,tt7942760,12/9/2023,12/9/2023,,Hot Ones: Charlie Sloth Makes His Mum Proud Eating Spicy Wings,https://www.imdb.com/title/tt7942760/,tvEpisode,6.8,19,2017,"Comedy, Talk-Show",9,2017-03-09,
67,tt7942756,12/9/2023,12/9/2023,,Hot Ones: Kyle Kinane Gets Angry Eating Spicy Wings,https://www.imdb.com/title/tt7942756/,tvEpisode,6,20,2017,"Comedy, Talk-Show",8,2017-03-16,
68,tt7942752,12/9/2023,12/9/2023,,Hot Ones: Dax Shepard Does Mental Math While Eating Spicy Wings,https://www.imdb.com/title/tt7942752/,tvEpisode,8.1,22,2017,"Comedy, Talk-Show",25,2017-03-23,
69,tt7238852,12/9/2023,12/9/2023,,Hot Ones: H3H3 Productions Does Couples Therapy While Eating Spicy Wings,https://www.imdb.com/title/tt7238852/,tvEpisode,7.4,,2017,"Comedy, Talk-Show",17,2017-03-30,
70,tt7942726,12/9/2023,12/9/2023,,Hot Ones: Keke Palmer Laughs Uncontrollably While Eating Spicy Wings,https://www.imdb.com/title/tt7942726/,tvEpisode,6,19,2017,"Comedy, Talk-Show",10,2017-04-06,
71,tt7942724,12/9/2023,12/9/2023,,Hot Ones: Charlamagne Tha God Gets Heated Eating Spicy Wings,https://www.imdb.com/title/tt7942724/,tvEpisode,6.4,21,2017,"Comedy, Talk-Show",8,2017-04-13,
72,tt7942720,12/9/2023,12/9/2023,,Hot Ones: DJ Snake Reveals His Human Side While Eating Spicy Wings,https://www.imdb.com/title/tt7942720/,tvEpisode,6.8,19,2017,"Comedy, Talk-Show",10,2017-04-20,
73,tt7942718,12/9/2023,12/9/2023,,Hot Ones: Guy Fieri Becomes the Mayor of Spicy Wings,https://www.imdb.com/title/tt7942718/,tvEpisode,7.5,,2017,"Comedy, Talk-Show",26,2017-04-27,
74,tt7942714,12/9/2023,12/9/2023,,Hot Ones: Kevin Love Gets Dunked on by Spicy Wings,https://www.imdb.com/title/tt7942714/,tvEpisode,7.5,,2017,"Comedy, Talk-Show",11,2017-05-04,
75,tt7942706,12/9/2023,12/9/2023,,Hot Ones: Neil deGrasse Tyson Explains the Universe While Eating Spicy Wings,https://www.imdb.com/title/tt7942706/,tvEpisode,7.9,26,2017,"Comedy, Talk-Show",27,2017-05-11,
76,tt7942700,12/9/2023,12/9/2023,,Hot Ones: Thomas Middleditch Does Improv While Eating Spicy Wings,https://www.imdb.com/title/tt7942700/,tvEpisode,8,21,2017,"Comedy, Talk-Show",11,2017-05-18,
77,tt7942698,12/9/2023,12/9/2023,,Hot Ones: Andy Cohen Spills the Tea While Eating Spicy Wings,https://www.imdb.com/title/tt7942698/,tvEpisode,8,20,2017,"Comedy, Talk-Show",8,2017-05-25,
78,tt7942690,12/9/2023,12/9/2023,,Hot Ones: Tom Arnold Melts Down While Eating Spicy Wings,https://www.imdb.com/title/tt7942690/,tvEpisode,8,17,2017,"Comedy, Talk-Show",9,2017-06-01,
79,tt7942688,12/9/2023,12/9/2023,,Hot Ones: Coyote Peterson Gets Stung by Spicy Wings,https://www.imdb.com/title/tt7942688/,tvEpisode,7.9,,2017,"Comedy, Talk-Show",14,2017-06-08,
80,tt7942684,12/9/2023,12/9/2023,,Hot Ones: Nick Kroll Delivers a PSA While Eating Spicy Wings,https://www.imdb.com/title/tt7942684/,tvEpisode,8,,2017,"Comedy, Talk-Show",11,2017-06-15,
81,tt7942678,12/9/2023,12/9/2023,,Hot Ones: Superfan Brett Baker Grills Sean Evans Over Spicy Wings,https://www.imdb.com/title/tt7942678/,tvEpisode,8.8,23,2017,"Comedy, Talk-Show",9,2017-06-22,
82,tt7096976,12/9/2023,12/9/2023,,Hot Ones: Seth Rogen and Dominic Cooper Suffer While Eating Spicy Wings,https://www.imdb.com/title/tt7096976/,tvEpisode,7.6,13,2017,"Comedy, Talk-Show",20,2017-06-29,
83,tt7461934,12/9/2023,12/9/2023,,Hot Ones: Cara Delevingne Shows Her Hot Sauce Balls While Eating Spicy Wings,https://www.imdb.com/title/tt7461934/,tvEpisode,7.2,17,2017,"Comedy, Talk-Show",21,2017-07-20,
84,tt7461958,12/9/2023,12/9/2023,,Hot Ones: Liam Payne Gets Cocky Eating Spicy Wings,https://www.imdb.com/title/tt7461958/,tvEpisode,6.5,22,2017,"Comedy, Talk-Show",13,2017-07-27,
85,tt7942578,12/9/2023,12/9/2023,,Hot Ones: Steve-O Tells Insane Stories While Eating Spicy Wings,https://www.imdb.com/title/tt7942578/,tvEpisode,7.4,,2017,"Comedy, Talk-Show",35,2017-08-03,
86,tt7942572,12/9/2023,12/9/2023,,Hot Ones: Vince Staples Delivers Hot Takes While Eating Spicy Wings,https://www.imdb.com/title/tt7942572/,tvEpisode,7.7,20,2017,"Comedy, Talk-Show",15,2017-08-10,
87,tt7942568,12/9/2023,12/9/2023,,Hot Ones: Adam Richman Fanboys Out While Eating Spicy Wings,https://www.imdb.com/title/tt7942568/,tvEpisode,7.6,,2017,"Comedy, Talk-Show",16,2017-08-17,
88,tt7942566,12/9/2023,12/9/2023,,Hot Ones: ASAP Ferg Harlem Shakes While Eating Spicy Wings,https://www.imdb.com/title/tt7942566/,tvEpisode,7.9,22,2017,"Comedy, Talk-Show",8,2017-08-24,
89,tt7942562,12/9/2023,12/9/2023,,Hot Ones: Kevin Durant Sweats It Out Over Spicy Wings,https://www.imdb.com/title/tt7942562/,tvEpisode,7.4,18,2017,"Comedy, Talk-Show",11,2017-08-31,
90,tt7942558,12/9/2023,12/9/2023,,Hot Ones: Henry Rollins Channels His Anger at Spicy Wings,https://www.imdb.com/title/tt7942558/,tvEpisode,7.9,23,2017,"Comedy, Talk-Show",18,2017-09-07,
91,tt7392042,12/9/2023,12/9/2023,,Hot Ones: Dillon Francis Hurts His Body with Spicy Wings,https://www.imdb.com/title/tt7392042/,tvEpisode,7.9,22,2017,"Comedy, Talk-Show",9,2017-09-14,
92,tt7412184,12/9/2023,12/9/2023,,Hot Ones: Joji Sets His Face on Fire While Eating Spicy Wings,https://www.imdb.com/title/tt7412184/,tvEpisode,7.6,22,2017,"Comedy, Talk-Show",20,2017-09-21,
93,tt7461950,12/9/2023,12/9/2023,,Hot Ones: Wanda Sykes Confesses Everything While Eating Spicy Wings,https://www.imdb.com/title/tt7461950/,tvEpisode,7.6,19,2017,"Comedy, Talk-Show",19,2017-09-27,
94,tt7942270,12/9/2023,12/9/2023,,Hot Ones: Terry Crews Hallucinates While Eating Spicy Wings,https://www.imdb.com/title/tt7942270/,tvEpisode,8.2,22,2017,"Comedy, Talk-Show",35,2017-10-05,
95,tt7942452,12/9/2023,12/9/2023,,Hot Ones: Gary Vaynerchuk Tests His Mental Toughness While Eating Spicy Wings,https://www.imdb.com/title/tt7942452/,tvEpisode,8.7,21,2017,"Comedy, Talk-Show",11,2017-10-12,
96,tt7942448,12/9/2023,12/9/2023,,Hot Ones: Artie Lange Is Raw and Uncensored While Eating Spicy Wings,https://www.imdb.com/title/tt7942448/,tvEpisode,7.8,22,2017,"Comedy, Talk-Show",13,2017-10-19,
97,tt7942440,12/9/2023,12/9/2023,,Hot Ones: Chris Jericho Gets Body Slammed by Spicy Wings,https://www.imdb.com/title/tt7942440/,tvEpisode,7.6,21,2017,"Comedy, Talk-Show",15,2017-10-26,
98,tt7942436,12/9/2023,12/9/2023,,Hot Ones: Gabrielle Union Impersonates DMX While Eating Spicy Wings,https://www.imdb.com/title/tt7942436/,tvEpisode,8.2,,2017,"Comedy, Talk-Show",14,2017-11-02,
99,tt7942432,12/9/2023,12/9/2023,,Hot Ones: Wale Battles Spicy Wings Live,https://www.imdb.com/title/tt7942432/,tvEpisode,7,29,2017,"Comedy, Talk-Show",7,2017-11-09,Kai Streets
100,tt7942324,12/9/2023,12/9/2023,,Hot Ones: Bob Saget Hiccups Uncontrollably While Eating Spicy Wings,https://www.imdb.com/title/tt7942324/,tvEpisode,7.6,22,2017,"Comedy, Talk-Show",18,2017-11-16,
101,tt7942314,12/9/2023,12/9/2023,,Hot Ones: Mario Batali Celebrates Thanksgiving with Spicy Wings,https://www.imdb.com/title/tt7942314/,tvEpisode,,,2017,"Comedy, Talk-Show",,2017-11-23,
102,tt7942304,12/9/2023,12/9/2023,,Hot Ones: Alexa Chung Fears for Her Life While Eating Spicy Wings,https://www.imdb.com/title/tt7942304/,tvEpisode,7,,2017,"Comedy, Talk-Show",11,2017-11-30,
103,tt7942302,12/9/2023,12/9/2023,,Hot Ones: Logic Solves a Rubik's Cube While Eating Spicy Wings,https://www.imdb.com/title/tt7942302/,tvEpisode,7.1,21,2017,"Comedy, Talk-Show",16,2017-12-07,
